epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1602.2,0.97355,1.04976,0.99893,0.49127,0.15679,0.20405,0.14032,1.03648,0.68382,0.98208,0.000992647,0.000992647,0.0679044
2,3262.5,0.87854,0.62247,0.96506,0.4096,0.36448,0.29561,0.22355,0.78642,0.50989,0.90959,0.00199216,0.00199216,0.0355706
3,8938.96,0.84879,0.55073,0.95389,0.58352,0.38412,0.28684,0.22202,0.78662,0.53152,0.91232,0.00298972,0.00298972,0.00323482
